Name,Typing,Stat Lean,Role,Battle Niche,Visual Description,Lore Snippet,
Kitzen,Inferno,"High SWF, High MGT",Fast Attacker,Glass cannon with recoil boost,A fox with ember trails and burning tail tufts,"Born in Emberveil, Blazepaw races alongside lava currents for sport.",x
Pyrrin,Inferno,"High MAG, Medium STA",Setup Sweeper,Stacks heat for a burst flame move,A jackal-like creature with molten cracks across its body,Once used to ignite ceremonial fires in the Emberveil arena.,x
Nyoroa,Aqua,"High SWF, Medium MAG",Pivot,"Evasive, whirlpool zone control",A serpentine fish with flowing fins and glowing eyes,Said to create calming currents for Tidewake pilgrims.,x
Otanei,Aqua,"High WIL, Medium VIT",Support,Ally cleanser and water shield generator,A playful otter with mist-like fur and shimmering whiskers,Guides lost boats safely to Tidewake shores.,x
Mokoro,Flora,"High STA, Medium WIL",Support,Leech seed zones and regen buffs,A turtle-like plant beast with flowering moss on its back,Carries ancient seeds from Verdanta's oldest tree.,x
Rootmaw,Flora,"High GRD, Low SWF",Tank,Roots into the ground to resist knockback,A moss-covered beast with bark armor and thorned tusks,Defends sacred groves deep in Verdanta.,x
Zintrel,Volt,"High SWF, High MGT",Pivot,Volt switcher with shock traps,A sleek fox with electric fur and lightning bolt ears,Delivers coded messages between Stormspire towers.,x
Glacyn,Frost,"High MAG, High WIL",Special Sweeper,Snow cloak + freeze synergy,An arctic wolf with frostbitten fangs and glowing breath,Stalks prey across the Glacien tundra in silence.,x
Torusk,Terra,"High GRD, High VIT",Tank,Unmovable—gains defense when staying in place,An armored badger with sandstone plates,Tunnels through Gravemarch canyons to guard sacred stones.,x
Sorin,Wind,"High SWF, Medium STA",Fast Attacker,Gale-boosted priority strike,A raptor with cloud-like wings and jetstream trails,Challenges rivals in aerial duels above Skyrend.,x
Noema,Mind,"High MAG, High STA",Setup Sweeper,Stacks focus to boost all special stats,An owl with crystal plumage and third eye,Oracles in Cerevale consult it before dream rituals.,x
Mourin,Spirit,"High STA, Medium MAG",Utility,"Avoids contact moves, lays curse traps",A floating doll with one cracked mask and tendrils of smoke,Whispers of Umbradeep say it remembers every soul.,x
Somrel,Cursed,"High WIL, High STA",Disruptor,Reduces enemy healing and boosts decay effects,A hunched creature with twisted horns and rotting cloak,Spawns from Malmortis’s plague pits.,x
Elarin,Bless,"High WIL, High VIT",Cleric,Heals and protects adjacent allies,A glowing deer with a halo and golden leaves for antlers,Prays nightly atop Halohaven peaks.,x
Eldrune,Mythos,"Balanced Offense, High STA",Mixed Sweeper,Unlocks ancient runes for stat buffs,A dragon-lizard hybrid etched with glowing runes,Each battle echoes the wars of Eldralore's past.,x
