# ,Name,Typing 1,Typing 2,HP,MP,STR,INT,DEF,M.DEF,DEX,TOTAL,Stat Lean,Role,Battle Niche,
001,Kitzen,Inferno,,65,77,119,78,76,71,123,609,"High SWF, High MGT",Fast Attacker,Glass cannon with recoil boost,
002,Pyrrin,Inferno,,86,89,67,125,86,80,80,613,"High MAG, Medium STA",Setup Sweeper,Stacks heat for a burst flame move,
003,Nyoroa,Aqua,,66,84,73,69,91,77,130,590,"High SWF, Medium MAG",Pivot,"Evasive, whirlpool zone control",
004,Otanei,Aqua,,88,61,77,89,77,108,70,570,"High WIL, Medium VIT",Support,Ally cleanser and water shield generator,
005,Mokoro,Flora,,120,79,73,84,75,100,74,605,"High STA, Medium WIL",Support,Leech seed zones and regen buffs,
006,Rootmaw,Flora,,90,93,83,96,127,64,57,610,"High GRD, Low SWF",Tank,Roots into the ground to resist knockback,
007,Zintrel,Volt,,69,91,95,74,73,84,117,603,"High SWF, High MGT",Pivot,Volt switcher with shock traps,
008,Glacyn,Frost,,88,87,78,109,88,109,80,639,"High MAG, High WIL",Special Sweeper,Snow cloak + freeze synergy,
009,Torusk,Terra,,115,69,94,67,130,87,95,657,"High GRD, High VIT",Tank,Unmovable—gains defense when staying in place,
010,Sorin,Wind,,83,76,83,79,83,83,127,614,"High SWF, Medium STA",Fast Attacker,Gale-boosted priority strike,
011,Noema,Mind,,82,82,82,114,77,84,85,606,"High MAG, High STA",Setup Sweeper,Stacks focus to boost all special stats,
012,Mourin,Spirit,,102,97,77,102,76,96,90,640,"High STA, Medium MAG",Utility,"Avoids contact moves, lays curse traps",
013,Somrel,Cursed,,112,66,76,72,91,118,86,621,"High WIL, High STA",Disruptor,Reduces enemy healing and boosts decay effects,
014,Elarin,Bless,,118,74,86,78,86,130,81,653,"High WIL, High VIT",Cleric,Heals and protects adjacent allies,
015,Eldrune,Mythos,,99,40,71,98,67,76,72,523,"Balanced Offense, High STA",Mixed Sweeper,Unlocks ancient runes for stat buffs,
016,Kyntra,Cyber,,111,70,81,82,97,94,77,612,"High GRD, High STA",Tank,"Reflects tech-based attacks, hazard denial",
